ARTIST,TITLE,YEAR,LINK
Albert Bierstadt,Butterfly,1900,https://uploads0.wikiart.org/images/albert-bierstadt/butterfly-1900.jpg!Large.jpg
Albert Bierstadt,Valley Of The Yosemite,1864,https://uploads0.wikiart.org/images/albert-bierstadt/valley-of-the-yosemite-1864.jpg!Large.jpg
Albert Bierstadt,The Landing Of Columbus,1893,https://uploads0.wikiart.org/images/albert-bierstadt/the-landing-of-columbus-1893.jpg!Large.jpg
Albert Bierstadt,Butterfly Second Version,1900,https://uploads0.wikiart.org/images/albert-bierstadt/butterfly-second-version-1900.jpg!Large.jpg
Albert Bierstadt,The Morteratsch Glacier Upper Engadine Valley Pontresina,1895,https://uploads0.wikiart.org/images/albert-bierstadt/the-morteratsch-glacier-upper-engadine-valley-pontresina-1895.jpg!Large.jpg
Albert Bierstadt,On The Sweetwater Near The Devil S Gate Nebraska,1860,https://uploads0.wikiart.org/images/albert-bierstadt/on-the-sweetwater-near-the-devil-s-gate-nebraska-1860.jpg!Large.jpg
Albert Bierstadt,The Emerald Pool,1870,https://uploads0.wikiart.org/images/albert-bierstadt/the-emerald-pool-1870.jpg!Large.jpg
Albert Bierstadt,The Golden Gate,1900,https://uploads0.wikiart.org/images/albert-bierstadt/the-golden-gate-1900.jpg!Large.jpg
Albert Bierstadt,Thunderstorm In The Rocky Mountains,1859,https://uploads0.wikiart.org/images/albert-bierstadt/thunderstorm-in-the-rocky-mountains-1859.jpg!Large.jpg
Albert Bierstadt,Street In Nassau,1878,https://uploads0.wikiart.org/images/albert-bierstadt/street-in-nassau-1878.jpg!Large.jpg
Albrecht Durer,Rear View Of The Female,1528,https://uploads0.wikiart.org/images/albrecht-durer/rear-view-of-the-female-1528.jpg!Large.jpg
Albrecht Durer,Way To Calvary,1527,https://uploads0.wikiart.org/images/albrecht-durer/way-to-calvary-1527.jpg!Large.jpg
Albrecht Durer,A Sea Monster Bearing Away A Princess,1528,https://uploads0.wikiart.org/images/albrecht-durer/a-sea-monster-bearing-away-a-princess-1528.jpg!Large.jpg
Albrecht Durer,Self Portrait,1493,https://uploads0.wikiart.org/images/albrecht-durer/self-portrait-1493.jpg!Large.jpg
Albrecht Durer,The Four Horsemen Of The Apocalypse Death Famine Pestilence And War,1498,https://uploads0.wikiart.org/images/albrecht-durer/the-four-horsemen-of-the-apocalypse-death-famine-pestilence-and-war-1498.jpg!Large.jpg
