ARTIST,TITLE,YEAR,LINK
Anthony Van Dyck,Portrait Of A Noble Genoese Lady,1627,https://uploads7.wikiart.org/images/anthony-van-dyck/portrait-of-a-noble-genoese-lady-1627.jpg!Large.jpg
Pyotr Konchalovsky,Gurzuf The Mountains,1929,https://uploads5.wikiart.org/images/pyotr-konchalovsky/gurzuf-the-mountains-1929.jpg
Ilya Repin,Portrait Of Members Of State Council Ivan Logginovich Goremykin And Nikolai Nikolayevich Gerard,1903,https://uploads1.wikiart.org/images/ilya-repin/portrait-of-members-of-state-council-ivan-logginovich-goremykin-and-nikolai-nikolayevich-gerard-1903.jpg!Large.jpg
Vincent Van Gogh,Woman With A Mourning Shawl,1885,https://uploads2.wikiart.org/images/vincent-van-gogh/woman-with-a-mourning-shawl-1885.jpg!Large.jpg
Amedeo Modigliani,Raimondo,1915,https://uploads2.wikiart.org/images/amedeo-modigliani/raimondo-1915.jpg!Large.jpg
David Burliuk,Mountain Landscape,1943,https://uploads8.wikiart.org/images/david-burliuk/mountain-landscape-1943.jpg!Large.jpg
Ivan Aivazovsky,Night In The Crimea View Of Ayu Dag,1850,https://uploads0.wikiart.org/images/ivan-aivazovsky/night-in-the-crimea-view-of-ayu-dag-1850.jpg!Large.jpg
Fra Angelico,St Peter Martyr,1440,https://uploads4.wikiart.org/images/fra-angelico/st-peter-martyr-1440.jpg!Large.jpg
Paul Gauguin,Blue Trees,1888,https://uploads8.wikiart.org/images/paul-gauguin/blue-trees-1888.jpg!Large.jpg
Pierre Bonnard,Woman In A Blue Pelerine,1898,https://uploads6.wikiart.org/images/pierre-bonnard/woman-in-a-blue-pelerine-1898.jpg!Large.jpg
Paul Klee,Landscape With Flags Or Houses With Flags,1915,https://uploads0.wikiart.org/00246/images/paul-klee/landscape-with-flags-or-houses-with-flags-1915.jpg!Large.jpg
Pierre Auguste Renoir,Madame Paul Gallimard Nee Lucie Duche,1892,https://uploads8.wikiart.org/images/pierre-auguste-renoir/madame-paul-gallimard-nee-lucie-duche-1892.jpg!Large.jpg
William Adolphe Bouguereau,Idylle,1851,https://uploads0.wikiart.org/images/william-adolphe-bouguereau/idylle-1851.jpg!Large.jpg
Lucian Freud,Two Irishmen In W11,1985,https://uploads8.wikiart.org/images/lucian-freud/two-irishmen-in-w11-1985.jpg!Large.jpg
John Singer Sargent,Still Life With Daffodils,1890,https://uploads3.wikiart.org/images/john-singer-sargent/still-life-with-daffodils-1890.jpg!Large.jpg
Nicholas Roerich,Winter Landscape,1918,https://uploads0.wikiart.org/images/nicholas-roerich/winter-landscape-1918.jpg!Large.jpg
Konstantin Korovin,By The Window,1893,https://uploads8.wikiart.org/images/konstantin-korovin/by-the-window-1893.jpg!Large.jpg
Lawrence Alma-Tadema,The Crossing Of The River Berizina,1869,https://uploads4.wikiart.org/images/alma-tadema-lawrence/the-crossing-of-the-river-berizina-1869.jpg!Large.jpg
Valentin Serov,Peter I In The Palace Of Monplaisir Unfinished,1911,https://uploads1.wikiart.org/images/valentin-serov/peter-i-in-the-palace-of-monplaisir-unfinished-1911.jpg!Large.jpg
Gustave Courbet,Portrait Of Alphonse Promayet,1847,https://uploads3.wikiart.org/images/gustave-courbet/portrait-of-alphonse-promayet-1847.jpg!Large.jpg
Camille Pissarro,Church At Kew,1892,https://uploads6.wikiart.org/images/camille-pissarro/church-at-kew-1892.jpg!Large.jpg
Alexander Calder,Untitled,1959,https://uploads6.wikiart.org/00209/images/alexander-calder/untitled-1959.jpg!Large.jpg
Paul Cezanne,Seascape,1864,https://uploads6.wikiart.org/images/paul-cezanne/seascape-1864.jpg!Large.jpg
Raoul Dufy,The Jetty At Sainte Adresse,1906,https://uploads4.wikiart.org/images/raoul-dufy/the-jetty-at-sainte-adresse-1906.jpg
Nicholas Roerich,Sword Of Courage,1912,https://uploads8.wikiart.org/images/nicholas-roerich/sword-of-courage-1912.jpg
Paul Klee,Dieser Stern Lehrt Beugen,1940,https://uploads1.wikiart.org/images/paul-klee/dieser-stern-lehrt-beugen-1940.jpg
John Everett Millais,Mariana In The Moated Grange,1851,https://uploads7.wikiart.org/images/john-everett-millais/mariana-in-the-moated-grange-1851.jpg!Large.jpg
Pierre Auguste Renoir,Young Girl In A Flowered Hat,1905,https://uploads8.wikiart.org/images/pierre-auguste-renoir/young-girl-in-a-flowered-hat-1905.jpg!Large.jpg
Edouard Manet,Tarring The Boat,1873,https://uploads6.wikiart.org/images/edouard-manet/tarring-the-boat-1873.jpg!Large.jpg
Edgar Degas,Dancer With A Fan,1879,https://uploads5.wikiart.org/images/edgar-degas/dancer-with-a-fan-1879.jpg!Large.jpg
Martiros Saryan,In Barfursh Persia,1913,https://uploads1.wikiart.org/images/martiros-saryan/in-barfursh-persia-1913.jpg!Large.jpg
Pierre Auguste Renoir,Child In A White Dress Lucie Berard,1883,https://uploads6.wikiart.org/images/pierre-auguste-renoir/child-in-a-white-dress-lucie-berard-1883.jpg!Large.jpg
Pierre Bonnard,The Merchant Of Four Seasons,1899,https://uploads1.wikiart.org/images/pierre-bonnard/the-merchant-of-four-seasons-1899.jpg!Large.jpg
Ivan Shishkin,View Of Valaam Island Kukko,1860,https://uploads8.wikiart.org/images/ivan-shishkin/view-of-valaam-island-kukko-1860.jpg!Large.jpg
Pablo Picasso,Man With Lamb Man Eating Watermelon And Flutist,1967,https://uploads1.wikiart.org/images/pablo-picasso/man-with-lamb-man-eating-watermelon-and-flutist-1967.jpg!Large.jpg
Albrecht Durer,Johannes Kleberger,1526,https://uploads0.wikiart.org/images/albrecht-durer/johannes-kleberger-1526.jpg!Large.jpg
Paul Signac,Red Silk Stockings,1935,https://uploads6.wikiart.org/images/paul-signac/red-silk-stockings-1935.jpg!Large.jpg
Paul Signac,Regatta In Concarneau,1891,https://uploads0.wikiart.org/images/paul-signac/regatta-in-concarneau-1891.jpg!Large.jpg
Eugene Boudin,Seascape Les Lamaneurs,1884,https://uploads3.wikiart.org/images/eugene-boudin/seascape-les-lamaneurs-1884.jpg!Large.jpg
Aleksey Savrasov,Type In A Village Near Moscow Kuntsevo,1855,https://uploads4.wikiart.org/images/aleksey-savrasov/type-in-a-village-near-moscow-kuntsevo-1855.jpg!Large.jpg
Ilya Repin,Portrait Of The Artist Nikolay Gay,1880,https://uploads3.wikiart.org/images/ilya-repin/portrait-of-the-artist-nikolay-gay-1880.jpg!Large.jpg
Joaquin Sorolla,Galicia The Pilgrimage,1915,https://uploads5.wikiart.org/images/joaquin-sorolla/galicia-the-pilgrimage-1915.jpg!Large.jpg
Mary Cassatt,Pattycake,1897,https://uploads6.wikiart.org/images/mary-cassatt/pattycake-1897.jpg
Vincent Van Gogh,Entrance To The Moulin De La Galette,1887,https://uploads2.wikiart.org/images/vincent-van-gogh/entrance-to-the-moulin-de-la-galette-1887.jpg!Large.jpg
Pyotr Konchalovsky,Skating Rink Dynamo,1948,https://uploads5.wikiart.org/images/pyotr-konchalovsky/skating-rink-dynamo-1948.jpg!Large.jpg
Ivan Shishkin,Clouds Over The Grove,1878,https://uploads2.wikiart.org/images/ivan-shishkin/clouds-over-the-grove-1878.jpg!Large.jpg
Andrew Wyeth,Not Detected,7577,https://uploads3.wikiart.org/images/andrew-wyeth/not-detected-267577.jpg!Large.jpg
Boris Kustodiev,Group Portrait Of Family Schwartz,1908,https://uploads7.wikiart.org/images/boris-kustodiev/group-portrait-of-family-schwartz-1908.jpg!Large.jpg
Paul Klee,Fish Magic,1925,https://uploads4.wikiart.org/images/paul-klee/fish-magic-1925.jpg
Niko Pirosmani,Portrait Of A Wealthy Peasant,1903,https://uploads2.wikiart.org/images/niko-pirosmani/portrait-of-a-wealthy-peasant-1903.jpg!Large.jpg
Georges Braque,The Bottle Of Rum,1914,https://uploads8.wikiart.org/images/georges-braque/the-bottle-of-rum-1914.jpg!Large.jpg
Pyotr Konchalovsky,Near Siena,1912,https://uploads4.wikiart.org/images/pyotr-konchalovsky/near-siena-1912.jpg
Jose Maria Velasco,Valle De M Xico Tomado En Las Lomas De Tacubaya,1885,https://uploads6.wikiart.org/images/jose-maria-velasco/valle-de-m-xico-tomado-en-las-lomas-de-tacubaya-1885.jpg!Large.jpg
Nicholas Roerich,Burein Gol Qaidam,1928,https://uploads0.wikiart.org/images/nicholas-roerich/burein-gol-qaidam-1928.jpg
John William Waterhouse,Sketch For A Mermaid,1892,https://uploads2.wikiart.org/images/john-william-waterhouse/sketch-for-a-mermaid-1892.jpg!Large.jpg
Andrea Mantegna,Dido,1500,https://uploads5.wikiart.org/images/andrea-mantegna/dido-1500.jpg!Large.jpg
Theo Van Doesburg,Cover Design For Magazine Klei,1920,https://uploads6.wikiart.org/images/theo-van-doesburg/cover-design-for-magazine-klei-1920.jpg!Large.jpg
Dante Gabriel Rossetti,Mnemosyne,1881,https://uploads8.wikiart.org/images/dante-gabriel-rossetti/mnemosyne-1881.jpg!Large.jpg
Martiros Saryan,Mountais,1923,https://uploads0.wikiart.org/images/martiros-saryan/mountais-1923.jpg!Large.jpg
Paul Signac,Port Of La Rochelle,1921,https://uploads6.wikiart.org/images/paul-signac/port-of-la-rochelle-1921.jpg
Paul Gauguin,Orana Maria Hail Maria,1894,https://uploads2.wikiart.org/images/paul-gauguin/orana-maria-hail-maria-1894.jpg!Large.jpg
Pierre Auguste Renoir,Eugene Murer,1877,https://uploads1.wikiart.org/images/pierre-auguste-renoir/eugene-murer-1877.jpg!Large.jpg
Amedeo Modigliani,The Pretty Housewife,1915,https://uploads5.wikiart.org/images/amedeo-modigliani/the-pretty-housewife-1915.jpg!Large.jpg
Ivan Aivazovsky,During The Harvest In Ukraine,1883,https://uploads3.wikiart.org/images/ivan-aivazovsky/during-the-harvest-in-ukraine-1883.jpg!Large.jpg
Konstantin Korovin,Roses,1917,https://uploads0.wikiart.org/images/konstantin-korovin/roses-1917.jpg!Large.jpg
Paul Klee,Individualized Altimetry Of Stripes,1930,https://uploads2.wikiart.org/images/paul-klee/individualized-altimetry-of-stripes-1930.jpg
Ilya Repin,Portrait Of The Writer N B Nordman Severova,1905,https://uploads3.wikiart.org/images/ilya-repin/portrait-of-the-writer-n-b-nordman-severova-1905.jpg!Large.jpg
